"filename", "language", "JavaScript", "Markdown", "SCSS", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\adduser.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\allposts.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 5, 38
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\auth.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 7, 4, 36
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\category\[id].js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 7, 2, 33
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\category\all.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 7, 2, 33
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\category\name\[name].js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\contact.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 21, 13, 73
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\contactform\styles1.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 3, 1, 42
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\editpost.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 28, 10, 94
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\fetchposts.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 11, 4, 44
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\getuser.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 7, 1, 26
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\hello.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
